n = 3, group_order = 6 = 2 * 3
3 * 5^2, C75
3 * 5, C15
5^2, C25
3, C3
5, C5
1, 1

n = 76, group_order = 152 = 2^3 * 19
2^3 * 19, D76
2^2 * 19, C76
2^2 * 19, D38
2^2 * 19, D38
2 * 19, C38
2^2, C4
2, C2
19, C19
1, 1

n = 77, group_order = 154 = 2 * 7 * 11
2 * 7 * 11, D77
7 * 11, C77
7, C7
11, C11
1, 1

n = 78, group_order = 156 = 2^2 * 3 * 13
2^2 * 3 * 13, D78
2 * 3 * 13, C78
2 * 3 * 13, D39
2 * 3 * 13, D39
2 * 13, C26
3 * 13, C39
2 * 3, C6
2, C2
3, C3
13, C13
1, 1

n = 79, group_order = 158 = 2 * 79
2 * 79, D79
79, C79
1, 1

n = 80, group_order = 160 = 2^5 * 5
2^5 * 5, D80
2^4 * 5, C80
2^4 * 5, D40
2^4 * 5, D40
2^3 * 5, C40
2^2 * 5, C20
2 * 5, C10
2^4, C16
2^3, C8
2^2, C4
2, C2
5, C5
1, 1

n = 81, group_order = 162 = 2 * 3^4
2 * 3^4, D81
3^4, C81
3^3, C27
3^2, C9
3, C3
1, 1

n = 82, group_order = 164 = 2^2 * 41
2^2 * 41, D82
2 * 41, C82
2 * 41, D41
2 * 41, D41
2, C2
41, C41
1, 1

n = 83, group_order = 166 = 2 * 83
2 * 83, D83
83, C83
1, 1

n = 84, group_order = 168 = 2^3 * 3 * 7
2^3 * 3 * 7, D84
2^2 * 3 * 7, C84
2^2 * 3 * 7, D42
2^2 * 3 * 7, D42
2 * 3 * 7, C42
2^2 * 7, C28
2 * 7, C14
3 * 7, C21
2^2 * 3, C12
2 * 3, C6
2^2, C4
2, C2
3, C3
7, C7
1, 1

n = 85, group_order = 170 = 2 * 5 * 17
2 * 5 * 17, D85
5 * 17, C85
5, C5
17, C17
1, 1

n = 86, group_order = 172 = 2^2 * 43
2^2 * 43, D86
2 * 43, C86
2 * 43, D43
2 * 43, D43
2, C2
43, C43
1, 1

n = 87, group_order = 174 = 2 * 3 * 29
2 * 3 * 29, D87
3 * 29, C87
3, C3
29, C29
1, 1

n = 88, group_order = 176 = 2^4 * 11
2^4 * 11, D88
2^3 * 11, C88
2^3 * 11, D44
2^3 * 11, D44
2^2 * 11, C44
2 * 11, C22
2^3, C8
2^2, C4
2, C2
11, C11
1, 1

n = 89, group_order = 178 = 2 * 89
2 * 89, D89
89, C89
1, 1

n = 90, group_order = 180 = 2^2 * 3^2 * 5
2^2 * 3^2 * 5, D90
2 * 3^2 * 5, C90
2 * 3^2 * 5, D45
2 * 3^2 * 5, D45
2 * 3 * 5, C30
3^2 * 5, C45
2 * 5, C10
3 * 5, C15
2 * 3^2, C18
2 * 3, C6
3^2, C9
2, C2
3, C3
5, C5
1, 1

n = 91, group_order = 182 = 2 * 7 * 13
2 * 7 * 13, D91
7 * 13, C91
7, C7
13, C13
1, 1

n = 92, group_order = 184 = 2^3 * 23
2^3 * 23, D92
2^2 * 23, C92
2^2 * 23, D46
2^2 * 23, D46
2 * 23, C46
2^2, C4
2, C2
23, C23
1, 1

n = 93, group_order = 186 = 2 * 3 * 31
2 * 3 * 31, D93
3 * 31, C93
3, C3
31, C31
1, 1

n = 94, group_order = 188 = 2^2 * 47
2^2 * 47, D94
2 * 47, C94
2 * 47, D47
2 * 47, D47
2, C2
47, C47
1, 1

n = 95, group_order = 190 = 2 * 5 * 19
2 * 5 * 19, D95
5 * 19, C95
5, C5
19, C19
1, 1

n = 96, group_order = 192 = 2^6 * 3
2^6 * 3, D96
2^5 * 3, C96
2^5 * 3, D48
2^5 * 3, D48
2^4 * 3, C48
2^3 * 3, C24
2^2 * 3, C12
2 * 3, C6
